11,7
24,7
32,7
41,4
48,3
54,1
68,4
80,5
94,6
99,4
112,7
122,5
127,2
140,7
147,3
153,4
163,4
171,2
177,4
189,7
195,5
208,6
208,10
208,6
208,10
208,6
208,10
208,6
208,10
208,6
208,10
208,6
208,10
208,6
208,10
217,1
229,3
242,1
256,6
267,7
273,2
279,1
292,6
300,5
310,7
320,7
333,5
342,4
348,4
354,3
365,3
379,6
391,2
399,7
410,1
417,2
426,3
439,7
444,2
456,5
462,5
468,3
477,1
483,1
496,3
500,4
500,4
502,4
507,3
514,4
524,2
529,2
536,3
547,6
554,4
561,5
570,2
583,1
591,7
604,5
617,4
623,2
636,2
650,4
660,7
665,1
671,1
679,7
686,2
694,3
704,7
711,5
724,2
735,7
740,3
752,6
757,3
766,3
777,2
784,2
790,1
798,3
803,2
812,1
823,1
832,7
843,5
851,5
857,4
871,7
883,2
890,4
897,4
911,6
917,1
925,2
937,6
948,3
956,7
963,3
973,5
984,3
998,6
